avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.174,2,1994-07-03,,4,,,1,"178cm, 78kg",,,김인태,33,0.231,0.535,외야수,3,2,0,7,,두산,,
0.302,19,1985-03-21,,38,,,1,"181cm, 75kg",,,김재호,52,0.395,0.760,내야수,20,11,0,23,,두산,,
0.283,63,1988-09-22,,134,,,29,"183cm, 90kg",,,김재환,32,0.368,0.893,외야수,78,92,1,168,,두산,,
,0,1999-05-15,81.00,,3,0,0,"183cm, 87kg",1/3,0,김정우,30,,,투수,,,,0,0,두산,0,9.00
0.087,0,1996-08-10,,2,,,0,"175cm, 74kg",,,김태근,8,0.192,0.279,외야수,7,1,0,10,,두산,,
,31,2005-06-03,2.08,,51,4,2,"181cm, 88kg",65,2,김택연,63,,,투수,,,,78,19,두산,3,1.26
,4,1998-05-17,8.78,,22,0,1,"180cm, 82kg",13 1/3,2,김호준,56,,,투수,,,,6,0,두산,1,1.95
,,1981-05-06,,,,,,"203cm, 103kg",,,니퍼트,,,,투수,,,,,,두산,,
0.305,27,1992-04-15,,95,,,10,"183cm, 97kg",,,라모스,,0.360,0.842,외야수,43,48,3,60,,두산,,
0.667,0,2005-03-25,,2,,,0,"182cm, 92kg",,,류현준,11,0.667,1.667,포수,0,1,0,0,,두산,,
0.200,5,1996-01-11,,3,,,0,"177cm, 84kg",,,박계범,14,0.400,0.667,내야수,5,0,1,7,,두산,,
0.000,0,2002-10-21,,0,,,0,"183cm, 95kg",,,박민준,26,0.000,0.000,포수,0,0,0,3,,두산,,
,2,1995-01-21,11.25,,6,0,2,"177cm, 68kg",4,1,박소준,18,,,투수,,,,2,0,두산,0,2.00
,8,1999-07-16,2.08,,8,0,0,"185cm, 75kg",8 2/3,1,박신지,49,,,투수,,,,3,0,두산,0,1.85
,12,1996-01-29,5.16,,38,4,2,"178cm, 74kg",29 2/3,2,박정수,12,,,투수,,,,22,0,두산,1,1.69
0.226,21,1997-08-05,,42,,,7,"180cm, 90kg",,,박준영,9,0.313,0.722,내야수,25,28,2,58,,두산,,
,1,2003-07-02,0.00,,0,1,0,"181cm, 99kg",2/3,0,박지호,4,,,투수,,,,2,0,두산,0,1.50
,기록이 없습니다.,2000-09-07,,,,,,"183cm, 80kg",,,박지훈,2,,,내야수,,,,,,두산,,
,18,1998-03-10,6.38,,59,3,8,"177cm, 78kg",48,3,박치국,1,,,투수,,,,35,1,두산,2,1.60
,28,1998-09-17,4.26,,54,1,3,"196cm, 97kg",57,6,발라조빅,43,,,투수,,,,69,0,두산,2,1.44
,,2000-01-04,,,,,,"183cm, 95kg",,,백승우,69,,,투수,,,,,,두산,,
,11,1994-06-03,3.12,,75,0,3,"190cm, 81kg",75,4,브랜든,48,,,투수,,,,75,0,두산,7,1.15
0.222,2,1993-06-19,,4,,,0,"178cm, 83kg",,,서예일,16,0.300,0.522,내야수,2,1,0,5,,두산,,
,33,2001-06-04,5.65,,59,0,6,"180cm, 88kg",57 1/3,5,시라카와,,,,투수,,,,46,0,두산,4,1.60
0.200,0,1992-01-25,,1,,,0,"176cm, 98kg",,,안승한,20,0.200,0.400,포수,0,0,0,1,,두산,,
,22,1992-12-04,4.76,,58,0,10,"193cm, 100kg",64 1/3,2,알칸타라,,,,투수,,,,34,0,두산,2,1.24
0.246,49,1991-07-15,,131,,,34,"185cm, 90kg",,,양석환,53,0.316,0.804,내야수,83,107,5,128,,두산,,
0.314,40,1987-06-05,,135,,,17,"180cm, 95kg",,,양의지,25,0.379,0.858,포수,57,94,2,56,,두산,,
0.125,4,1997-05-25,,1,,,0,"179cm, 84kg",,,양찬열,57,0.417,0.542,외야수,2,1,0,1,,두산,,
0.400,1,2005-08-04,,4,,,0,"175cm, 75kg",,,여동건,5,0.455,0.855,내야수,2,0,3,2,,두산,,
0.000,1,2001-09-04,,0,,,0,"179cm, 79kg",,,오명진,6,0.500,0.500,내야수,0,1,0,1,,두산,,
0.250,0,2000-11-14,,1,,,0,"179cm, 90kg",,,윤준호,,0.250,0.500,포수,1,1,0,1,,두산,,
,17,2000-05-29,7.39,,43,1,7,"181cm, 83kg",35 1/3,1,이교훈,99,,,투수,,,,27,0,두산,1,1.70
,34,2003-06-04,2.89,,61,22,3,"183cm, 95kg",65 1/3,1,이병헌,29,,,투수,,,,57,1,두산,6,1.45
,,1995-01-07,,,,,,"186cm, 86kg",,,이승진,55,,,투수,,,,,,두산,,
,36,1997-11-01,3.99,,62,5,4,"192cm, 91kg",65 1/3,4,이영하,50,,,투수,,,,59,2,두산,5,1.50
,,2003-05-07,,,,,,"187cm, 98kg",,,이원재,,,,투수,,,,,,두산,,
0.277,22,1998-08-05,,64,,,3,"175cm, 68kg",,,이유찬,7,0.341,0.705,내야수,39,23,16,51,,두산,,
,,2001-03-26,,,,,,"188cm, 90kg",,,이주엽,3,,,투수,,,,,,두산,,
0.000,1,2005-03-03,,0,,,0,"183cm, 90kg",,,임종성,36,0.250,0.250,내야수,0,0,0,1,,두산,,
0.250,0,2001-04-21,,1,,,0,"186cm, 98kg",,,장규빈,96,0.250,0.500,포수,1,0,0,1,,두산,,
0.200,2,1994-03-07,,4,,,0,"184cm, 86kg",,,장승현,22,0.273,0.573,포수,1,0,0,5,,두산,,
0.333,7,2001-08-21,,9,,,0,"177cm, 75kg",,,전다민,58,0.471,0.878,외야수,10,1,1,8,,두산,,
0.246,17,1999-06-30,,61,,,2,"181cm, 73kg",,,전민재,15,0.301,0.599,내야수,34,32,7,53,,두산,,
0.284,71,1990-10-07,,145,,,4,"175cm, 70kg",,,정수빈,31,0.376,0.737,외야수,95,47,52,72,,두산,,
,,1991-12-31,,,,,,"192cm, 92kg",,,정은재,102,,,투수,,,,,,두산,,
,26,1999-03-27,6.40,,39,1,5,"192cm, 95kg",32 1/3,1,정철원,65,,,투수,,,,39,6,두산,2,2.01
0.326,21,1995-07-09,,47,,,10,"185cm, 90kg",,,제러드,95,0.420,1.080,외야수,29,39,4,35,,두산,,
0.265,33,1993-08-30,,87,,,0,"178cm, 73kg",,,조수행,51,0.334,0.627,외야수,60,30,64,53,,두산,,
,7,2001-05-11,6.00,,37,1,6,"190cm, 87kg",27,0,최승용,28,,,투수,,,,21,0,두산,2,1.63
,34,1994-12-21,6.46,,125,0,21,"182cm, 91kg",110,7,최원준,61,,,투수,,,,72,0,두산,6,1.45
,5,2001-05-01,3.72,,8,2,2,"185cm, 84kg",9 2/3,0,최종인,40,,,투수,,,,8,1,두산,1,1.34
,30,2004-06-03,5.10,,69,0,11,"188cm, 90kg",72 1/3,6,최준호,59,,,투수,,,,58,0,두산,3,1.37
,24,2001-07-23,3.24,,48,15,6,"180cm, 88kg",50,1,최지강,42,,,투수,,,,45,1,두산,3,1.44
0.309,36,1990-08-26,,129,,,7,"176cm, 69kg",,,허경민,13,0.384,0.811,내야수,69,61,5,25,,두산,,
,33,1992-09-29,2.73,,55,11,5,"187cm, 97kg",59 1/3,3,홍건희,17,,,투수,,,,45,9,두산,4,1.48
0.286,1,1997-07-15,,4,,,0,"187cm, 98kg",,,홍성호,44,0.333,0.762,외야수,0,1,1,7,,두산,,
,4,2004-07-12,11.25,,8,0,1,"183cm, 85kg",4,1,강건,99,,,투수,,,,3,0,KT,0,3.00
0.000,0,1999-12-08,,0,,,0,"180cm, 85kg",,,강민성,5,0.000,0.000,내야수,0,0,0,0,,KT,,
0.289,59,1999-07-29,,159,,,26,"184cm, 98kg",,,강백호,50,0.360,0.840,내야수,92,96,6,127,,KT,,
0.308,8,2001-04-13,,8,,,1,"180cm, 90kg",,,강현우,55,0.471,0.933,포수,4,8,0,10,,KT,,
,14,1991-09-16,4.95,,141,0,6,"187cm, 88kg",100,8,고영표,1,,,투수,,,,79,0,KT,6,1.55
0.222,1,1998-09-12,,2,,,0,"178cm, 87kg",,,권동진,52,0.300,0.522,내야수,3,0,0,2,,KT,,
,,2004-04-12,,,,,,"187cm, 90kg",,,김건웅,49,,,투수,,,,,,KT,,
0.125,1,1996-07-12,,3,,,0,"182cm, 83kg",,,김건형,0,0.160,0.327,외야수,2,1,0,8,,KT,,
,27,1999-04-14,4.31,,84,21,5,"185cm, 88kg",77 1/3,4,김민,11,,,투수,,,,77,0,KT,8,1.44
,기록이 없습니다.,2005-07-22,,,,,,"181cm, 93kg",,,김민석,97,,,포수,,,,,,KT,,
,,2005-08-28,,,,,,"180cm, 83kg",,,김민성,94,,,투수,,,,,,KT,,
,33,1992-07-24,5.20,,84,12,8,"188cm, 80kg",81 1/3,3,김민수,26,,,투수,,,,75,0,KT,5,1.44
0.353,35,1995-11-21,,124,,,1,"181cm, 71kg",,,김민혁,53,0.410,0.829,외야수,47,34,4,45,,KT,,
0.357,2,2003-07-03,,5,,,0,"175cm, 80kg",,,김병준,57,0.438,0.795,외야수,9,1,0,2,,KT,,
0.276,37,1990-03-23,,102,,,4,"175cm, 68kg",,,김상수,7,0.351,0.730,내야수,60,45,3,59,,KT,,
,7,2002-08-18,4.91,,9,0,1,"178cm, 81kg",7 1/3,0,김영현,48,,,투수,,,,8,0,KT,0,2.18
,,2004-04-21,,,,,,"184cm, 84kg",,,김정운,,,,투수,,,,,,KT,,
,,1999-10-07,,,,,,"180cm, 77kg",,,김주완,98,,,투수,,,,,,KT,,
0.240,5,1994-07-31,,6,,,0,"175cm, 91kg",,,김준태,44,0.367,0.687,포수,6,3,0,6,,KT,,
0.329,88,1990-05-24,,188,,,32,"189cm, 102kg",,,로하스,3,0.421,0.989,외야수,108,112,2,115,,KT,,
0.256,45,1991-04-06,,89,,,17,"184cm, 85kg",,,문상철,24,0.351,0.786,외야수,50,58,6,86,,KT,,
,22,1995-02-04,12.18,,23,0,2,"178cm, 93kg",17,0,문용익,13,,,투수,,,,17,0,KT,0,2.65
0.667,0,1984-03-31,,2,,,0,"178cm, 80kg",,,박경수,6,0.667,1.667,내야수,2,1,0,1,,KT,,
0.214,0,2000-04-13,,3,,,0,"180cm, 77kg",,,박민석,25,0.214,0.428,내야수,6,0,0,7,,KT,,
,4,1997-06-27,3.38,,7,0,0,"178cm, 93kg",5 1/3,0,박세진,33,,,투수,,,,2,0,KT,0,2.06
,7,1989-03-10,4.62,,27,4,4,"180cm, 88kg",25 1/3,1,박시영,46,,,투수,,,,23,1,KT,0,1.34
,22,2003-10-11,3.52,,63,0,12,"183cm, 91kg",76 2/3,2,박영현,60,,,투수,,,,87,25,KT,10,1.11
0.275,50,1995-06-12,,111,,,7,"185cm, 80kg",,,배정대,27,0.355,0.749,외야수,49,59,9,114,,KT,,
,48,1993-07-26,4.63,,141,0,28,"188cm, 95kg",149 2/3,8,벤자민,43,,,투수,,,,156,0,KT,11,1.26
,16,1997-12-22,7.31,,46,1,1,"175cm, 82kg",32,0,성재헌,95,,,투수,,,,20,0,KT,0,1.94
,1,2001-09-16,3.24,,7,0,1,"189cm, 92kg",8 1/3,0,소형준,30,,,투수,,,,3,0,KT,2,0.96
,20,2001-01-23,5.32,,50,4,5,"183cm, 88kg",47 1/3,2,손동현,41,,,투수,,,,27,1,KT,1,1.48
0.214,3,1991-08-02,,3,,,0,"177cm, 80kg",,,송민섭,12,0.421,0.635,외야수,8,1,0,6,,KT,,
0.279,16,1989-03-21,,34,,,3,"179cm, 88kg",,,신본기,56,0.371,0.748,내야수,18,19,2,28,,KT,,
0.266,17,1995-04-28,,45,,,3,"183cm, 74kg",,,심우준,2,0.337,0.680,내야수,22,28,7,29,,KT,,
0.250,2,1998-05-29,,11,,,0,"176cm, 72kg",,,안치영,8,0.283,0.533,외야수,12,3,0,12,,KT,,
0.200,2,2003-08-22,,5,,,1,"183cm, 90kg",,,안현민,62,0.276,0.676,외야수,5,2,0,10,,KT,,
,42,1996-10-04,4.88,,164,0,26,"187cm, 72kg",156 2/3,10,엄상백,18,,,투수,,,,159,0,KT,13,1.31
0.293,18,1992-02-24,,51,,,6,"180cm, 87kg",,,오윤석,4,0.369,0.858,내야수,33,27,0,41,,KT,,
0.243,36,1986-10-29,,72,,,11,"187cm, 95kg",,,오재일,36,0.321,0.743,내야수,33,45,0,88,,KT,,
,2,1985-01-21,2.49,,47,4,1,"184cm, 75kg",43 1/3,1,우규민,21,,,투수,,,,39,1,KT,4,1.13
,31,2004-10-16,7.03,,105,1,6,"183cm, 83kg",65 1/3,5,원상현,63,,,투수,,,,59,0,KT,2,2.08
,20,2005-07-18,5.44,,52,0,6,"186cm, 90kg",44 2/3,5,육청명,64,,,투수,,,,20,0,KT,1,1.61
,,1998-04-24,,,,,,"185cm, 72kg",,,윤강찬,65,,,투수,,,,,,KT,,
0.176,1,2001-07-26,,3,,,0,"186cm, 86kg",,,윤준혁,35,0.222,0.516,내야수,3,0,0,6,,KT,,
,14,1995-11-24,5.34,,42,3,3,"181cm, 88kg",32,1,이상동,37,,,투수,,,,30,0,KT,0,1.75
,4,2000-09-19,5.40,,10,0,0,"186cm, 90kg",10,0,이선우,61,,,투수,,,,4,0,KT,0,1.40
,,1997-12-05,,,,,,"188cm, 93kg",,,이정현,51,,,투수,,,,,,KT,,
,3,1998-11-23,9.45,,13,0,2,"185cm, 85kg",6 2/3,0,이채호,17,,,투수,,,,5,0,KT,0,2.40
,,2000-02-21,,,,,,"188cm, 72kg",,,이태규,45,,,투수,,,,,,KT,,
,,2001-10-13,,,,,,"185cm, 86kg",,,이현민,114,,,투수,,,,,,KT,,
0.146,1,1995-06-03,,6,,,0,"177cm, 87kg",,,이호연,34,0.167,0.338,내야수,3,0,0,12,,KT,,
0.268,60,1990-01-17,,112,,,19,"187cm, 100kg",,,장성우,22,0.355,0.805,포수,53,81,5,86,,KT,,
0.071,4,1995-11-21,,1,,,0,"183cm, 77kg",,,장준원,16,0.278,0.349,내야수,1,0,0,5,,KT,,
,3,2000-02-12,10.80,,2,0,0,"188cm, 87kg",1 2/3,0,전용주,29,,,투수,,,,4,0,KT,0,3.00
0.226,8,2004-01-26,,14,,,0,"173cm, 73kg",,,정준영,58,0.324,0.582,외야수,9,3,0,16,,KT,,
0.306,3,1999-08-06,,11,,,0,"183cm, 81kg",,,조대현,42,0.350,0.711,포수,2,3,0,12,,KT,,
0.248,13,1989-09-09,,37,,,0,"170cm, 75kg",,,조용호,23,0.309,0.591,외야수,17,13,5,25,,KT,,
,10,1995-06-27,6.30,,53,0,9,"185cm, 95kg",40,2,조이현,54,,,투수,,,,19,0,KT,1,1.58
,11,1995-05-31,6.67,,78,0,7,"181cm, 82kg",58,1,주권,38,,,투수,,,,31,0,KT,1,1.53
0.295,18,1997-10-30,,69,,,1,"183cm, 85kg",,,천성호,14,0.346,0.714,내야수,41,17,7,43,,KT,,
,59,1990-10-14,4.10,,158,0,17,"188cm, 98kg",173 1/3,12,쿠에바스,32,,,투수,,,,154,0,KT,7,1.25
,1,1989-04-29,9.00,,5,0,0,"174cm, 78kg",2,0,하준호,28,,,투수,,,,0,0,KT,0,3.00
,18,1998-11-30,9.95,,29,0,4,"180cm, 80kg",19,4,한차현,59,,,투수,,,,17,0,KT,0,2.47
0.222,3,1997-08-29,,4,,,0,"174cm, 70kg",,,홍현빈,31,0.333,0.666,외야수,5,2,0,7,,KT,,
0.260,34,1987-07-28,,128,,,13,"183cm, 96kg",,,황재균,10,0.309,0.692,내야수,60,58,4,95,,KT,,
0.185,3,1993-10-19,,5,,,0,"176cm, 89kg",,,강진성,49,0.267,0.452,외야수,4,2,0,5,,SSG,,
0.250,25,2002-07-08,,85,,,11,"185cm, 94kg",,,고명준,18,0.303,0.688,내야수,33,45,3,90,,SSG,,
,20,1983-02-08,8.18,,23,5,4,"179cm, 81kg",22,1,고효준,15,,,투수,,,,27,0,SSG,2,1.95
,,2002-07-12,,,,,,"185cm, 88kg",,,김건우,39,,,투수,,,,,,SSG,,
,73,1988-07-22,4.93,,162,0,24,"188cm, 88kg",162 1/3,10,김광현,29,,,투수,,,,154,0,SSG,12,1.45
0.208,16,1989-06-28,,22,,,1,"180cm, 80kg",,,김민식,24,0.311,0.594,포수,10,10,0,33,,SSG,,
,기록이 없습니다.,2004-03-20,,,,,,"181cm, 78kg",,,김민준,,,,내야수,,,,,,SSG,,
,기록이 없습니다.,2001-04-30,,,,,,"184cm, 88kg",,,김성민,53,,,내야수,,,,,,SSG,,
0.227,16,1987-03-09,,32,,,1,"172cm, 72kg",,,김성현,6,0.321,0.605,내야수,21,15,2,28,,SSG,,
,기록이 없습니다.,2004-03-07,,,,,,"180cm, 75kg",,,김정민,65,,,외야수,,,,,,SSG,,
0.000,0,1997-12-29,,0,,,0,"182cm, 83kg",,,김찬형,5,0.000,0.000,내야수,0,0,0,4,,SSG,,
0.000,2,2000-06-14,,0,,,0,"185cm, 85kg",,,김창평,64,0.222,0.222,외야수,1,0,1,4,,SSG,,
,6,1996-10-10,9.00,,10,0,1,"185cm, 100kg",7,1,김택형,43,,,투수,,,,1,0,SSG,0,2.29
,32,1984-03-11,2.90,,71,38,10,"187cm, 100kg",83 2/3,5,노경은,38,,,투수,,,,71,0,SSG,8,1.23
,10,1995-07-03,12.71,,37,0,2,"183cm, 83kg",22 2/3,3,더거,,,,투수,,,,18,0,SSG,0,2.07
0.000,0,1996-07-16,,0,,,0,"190cm, 100kg",,,류효승,63,0.000,0.000,외야수,0,0,0,0,,SSG,,
,24,1989-11-28,4.50,,67,6,10,"180cm, 88kg",60,1,문승원,42,,,투수,,,,53,20,SSG,6,1.52
,,2005-07-26,,,,,,"184cm, 80kg",,,박기호,90,,,투수,,,,,,SSG,,
,기록이 없습니다.,1995-08-28,,,,,,"182cm, 85kg",,,박대온,30,,,포수,,,,,,SSG,,
,7,1992-02-25,4.76,,25,0,4,"185cm, 95kg",22 2/3,0,박민호,41,,,투수,,,,10,0,SSG,2,1.41
,0,2003-12-29,0.00,,1,0,0,"187cm, 92kg",2 1/3,0,박성빈,00,,,투수,,,,2,0,SSG,0,0.43
0.301,64,1998-03-30,,147,,,10,"180cm, 77kg",,,박성한,2,0.380,0.791,내야수,78,67,13,86,,SSG,,
,7,2001-05-10,6.75,,18,0,1,"182cm, 88kg",14 2/3,0,박시후,57,,,투수,,,,11,0,SSG,0,1.70
,21,1991-08-13,6.94,,37,0,7,"186cm, 90kg",35,4,박종훈,50,,,투수,,,,34,0,SSG,1,1.66
0.276,12,2005-07-12,,63,,,4,"183cm, 75kg",,,박지환,93,0.317,0.703,내야수,33,21,8,61,,SSG,,
,9,2000-10-29,7.71,,13,0,2,"183cm, 85kg",9 1/3,0,백승건,11,,,투수,,,,5,0,SSG,0,2.36
,,2000-01-14,,,,,,"193cm, 108kg",,,서상준,61,,,투수,,,,,,SSG,,
,26,1992-10-02,5.55,,52,6,5,"184cm, 88kg",47,1,서진용,22,,,투수,,,,38,0,SSG,0,1.66
,51,2004-05-28,5.80,,112,0,10,"185cm, 90kg",99 1/3,10,송영진,28,,,투수,,,,67,0,SSG,5,1.64
0.222,1,1998-01-25,,6,,,0,"177cm, 83kg",,,신범수,40,0.276,0.609,포수,4,2,0,5,,SSG,,
,3,2002-07-19,18.00,,7,0,2,"187cm, 88kg",3,0,신헌민,32,,,투수,,,,0,0,SSG,0,3.33
0.171,4,1997-01-27,,12,,,0,"178cm, 74kg",,,안상현,10,0.216,0.402,내야수,3,2,1,14,,SSG,,
,53,1994-03-22,3.89,,98,0,11,"190cm, 92kg",115 2/3,3,앤더슨,33,,,투수,,,,158,0,SSG,11,1.31
0.360,28,1991-01-31,,195,,,21,"178cm, 88kg",,,에레디아,27,0.399,0.937,외야수,82,118,4,73,,SSG,,
,30,1988-08-01,4.08,,126,0,13,"185cm, 92kg",123 2/3,7,엘리아스,55,,,투수,,,,104,0,SSG,7,1.26
,65,2001-04-23,5.03,,122,1,17,"182cm, 80kg",121 2/3,9,오원석,47,,,투수,,,,112,0,SSG,6,1.54
0.275,31,1991-11-18,,68,,,9,"186cm, 88kg",,,오태곤,37,0.355,0.804,외야수,43,36,27,73,,SSG,,
,15,1995-02-13,11.37,,34,0,5,"182cm, 85kg",19,2,이건욱,16,,,투수,,,,17,0,SSG,1,2.58
,23,2003-05-14,3.66,,12,0,2,"174cm, 74kg",19 2/3,1,이기순,,,,투수,,,,24,0,SSG,1,1.78
,43,2004-09-11,5.95,,67,9,4,"185cm, 105kg",56,3,이로운,92,,,투수,,,,41,1,SSG,1,1.96
,기록이 없습니다.,2005-01-06,,,,,,"187cm, 90kg",,,이승민,97,,,외야수,,,,,,SSG,,
,기록이 없습니다.,1998-04-10,,,,,,"178cm, 88kg",,,이정범,31,,,외야수,,,,,,SSG,,
0.279,18,1986-02-27,,111,,,5,"177cm, 88kg",,,이지영,59,0.320,0.669,포수,45,50,8,35,,SSG,,
,10,1998-12-06,6.75,,29,0,3,"177cm, 82kg",21 1/3,0,장지훈,66,,,투수,,,,10,0,SSG,0,1.83
,기록이 없습니다.,1999-03-18,,,,,,"184cm, 95kg",,,전경원,12,,,포수,,,,,,SSG,,
0.088,5,2000-11-25,,5,,,1,"188cm, 98kg",,,전의산,56,0.159,0.299,내야수,3,3,0,15,,SSG,,
,1,1997-10-22,0.00,,1,0,0,"193cm, 103kg",1 2/3,0,정동윤,51,,,투수,,,,2,0,SSG,0,1.20
,,1996-07-10,,,,,,"181cm, 80kg",,,정성곤,,,,투수,,,,,,SSG,,
0.307,19,2003-01-03,,66,,,1,"165cm, 68kg",,,정준재,95,0.371,0.776,내야수,40,23,16,49,,SSG,,
0.241,2,2001-10-24,,7,,,1,"180cm, 80kg",,,정현승,96,0.290,0.635,외야수,1,4,1,6,,SSG,,
,31,2002-05-08,3.58,,52,12,8,"182cm, 90kg",73,6,조병현,19,,,투수,,,,96,12,SSG,4,1.14
0.242,1,2002-04-04,,8,,,0,"187cm, 95kg",,,조형우,20,0.342,0.584,포수,4,4,0,6,,SSG,,
-,0,1995-11-21,,0,,,0,"182cm, 80kg",,,채현우,60,-,-,외야수,0,0,0,0,,SSG,,
0.171,8,1996-06-17,,6,,,0,"168cm, 73kg",,,최경모,52,0.326,0.497,내야수,12,0,6,7,,SSG,,
,24,1999-06-11,7.78,,61,0,9,"178cm, 83kg",39 1/3,0,최민준,67,,,투수,,,,40,0,SSG,1,2.16
0.000,0,1996-04-16,,0,,,0,"179cm, 76kg",,,최민창,69,0.000,0.000,외야수,2,0,0,1,,SSG,,
0.167,0,1999-08-20,,2,,,0,"178cm, 75kg",,,최상민,23,0.231,0.564,외야수,9,1,2,5,,SSG,,
0.291,55,1987-02-28,,136,,,37,"180cm, 90kg",,,최정,14,0.384,0.978,내야수,93,107,5,114,,SSG,,
0.240,9,1999-03-25,,6,,,0,"176cm, 78kg",,,최준우,7,0.441,0.761,내야수,2,5,0,8,,SSG,,
0.275,50,1997-07-23,,133,,,11,"178cm, 82kg",,,최지훈,54,0.345,0.763,외야수,89,49,32,71,,SSG,,
,3,2003-10-16,54.00,,5,0,1,"185cm, 90kg",2/3,0,최현석,94,,,투수,,,,1,0,SSG,0,12.00
0.281,37,1982-07-13,,71,,,5,"180cm, 97kg",,,추신수,17,0.373,0.776,외야수,40,37,5,68,,SSG,,
0.248,18,1990-10-29,,72,,,10,"182cm, 90kg",,,하재훈,13,0.292,0.709,외야수,40,36,15,90,,SSG,,
,31,1997-01-15,5.01,,62,3,3,"177cm, 86kg",59 1/3,1,한두솔,34,,,투수,,,,68,0,SSG,2,1.57
0.235,46,1989-08-09,,109,,,24,"190cm, 105kg",,,한유섬,35,0.314,0.767,외야수,64,87,0,142,,SSG,,
0.000,0,2001-07-08,,0,,,0,"180cm, 95kg",,,현원회,8,0.000,0.000,포수,0,0,0,1,,SSG,,
0.500,0,2005-04-12,,1,,,0,"182cm, 77kg",,,강성우,67,0.500,1.000,내야수,0,0,0,0,,롯데,,
0.000,0,2003-10-19,,0,,,0,"180cm, 83kg",,,강승구,36,0.000,0.000,포수,0,0,0,1,,롯데,,
0.000,0,1996-11-01,,0,,,0,"179cm, 91kg",,,강태율,32,0.000,0.000,포수,0,0,0,4,,롯데,,
0.308,41,2000-08-11,,148,,,14,"189cm, 92kg",,,고승민,65,0.358,0.834,내야수,79,87,5,78,,롯데,,
,35,1990-06-12,4.84,,68,13,6,"182cm, 86kg",57 2/3,3,구승민,22,,,투수,,,,62,0,롯데,5,1.79
,18,1995-02-27,3.55,,28,0,2,"177cm, 84kg",25 1/3,0,김강현,19,,,투수,,,,24,0,롯데,0,1.82
,6,1998-07-11,9.00,,5,0,0,"192cm, 118kg",4,1,김도규,23,,,투수,,,,5,0,롯데,0,2.75
0.200,2,2000-09-15,,3,,,0,"177cm, 77kg",,,김동혁,50,0.294,0.627,외야수,8,1,3,5,,롯데,,
0.211,2,2004-05-09,,16,,,0,"185cm, 83kg",,,김민석,2,0.268,0.544,외야수,14,6,3,20,,롯데,,
0.200,10,1988-12-17,,14,,,2,"181cm, 94kg",,,김민성,16,0.321,0.678,내야수,6,8,0,18,,롯데,,
,26,1988-01-02,4.15,,71,17,5,"180cm, 88kg",73 2/3,4,김상수,24,,,투수,,,,56,2,롯데,8,1.32
,31,1993-06-14,3.55,,59,0,4,"192cm, 96kg",63 1/3,6,김원중,34,,,투수,,,,68,25,롯데,3,1.42
,44,2002-07-05,5.31,,89,0,13,"185cm, 90kg",84 2/3,3,김진욱,15,,,투수,,,,87,0,롯데,4,1.57
,47,1998-03-16,8.51,,114,0,15,"186cm, 109kg",73,7,나균안,43,,,투수,,,,74,0,롯데,4,2.21
0.312,69,2002-02-15,,127,,,7,"190cm, 82kg",,,나승엽,51,0.411,0.880,내야수,59,66,1,83,,롯데,,
0.219,15,1989-07-15,,30,,,2,"184cm, 80kg",,,노진혁,52,0.297,0.604,내야수,13,13,0,39,,롯데,,
0.352,46,1994-10-05,,202,,,15,"196cm, 87kg",,,레이예스,29,0.394,0.904,외야수,88,111,5,82,,롯데,,
,56,1995-11-30,4.78,,188,0,13,"182cm, 85kg",173 1/3,11,박세웅,21,,,투수,,,,124,0,롯데,6,1.41
0.262,47,1992-12-04,,106,,,7,"184cm, 83kg",,,박승욱,53,0.351,0.716,내야수,57,53,4,120,,롯데,,
,1,2005-05-27,9.00,,3,0,0,"190cm, 94kg",2,0,박준우,58,,,투수,,,,1,0,롯데,0,2.00
,11,1999-04-02,4.38,,60,0,4,"182cm, 106kg",49 1/3,4,박진,44,,,투수,,,,35,1,롯데,2,1.44
,1,1994-06-10,4.26,,6,0,0,"181cm, 77kg",6 1/3,0,박진형,40,,,투수,,,,4,0,롯데,0,1.11
,46,1995-10-01,3.35,,140,0,18,"189cm, 91kg",150 2/3,6,반즈,28,,,투수,,,,171,0,롯데,9,1.23
0.000,0,2001-05-20,,0,,,0,"180cm, 95kg",,,백두산,55,0.000,0.000,포수,0,0,0,1,,롯데,,
0.115,0,2000-03-24,,3,,,0,"175cm, 88kg",,,서동욱,69,0.148,0.302,포수,2,0,0,8,,롯데,,
0.197,13,2002-01-14,,30,,,6,"186cm, 92kg",,,손성빈,00,0.271,0.653,포수,24,21,0,38,,롯데,,
0.317,17,1994-08-23,,126,,,18,"182cm, 88kg",,,손호영,33,0.354,0.892,내야수,70,78,7,65,,롯데,,
,5,2002-06-20,10.80,,9,3,2,"181cm, 84kg",8 1/3,1,송재영,59,,,투수,,,,9,1,롯데,0,1.68
,,1996-01-30,,,,,,"175cm, 83kg",,,신병률,60,,,투수,,,,,,롯데,,
0.161,1,1996-01-05,,5,,,0,"177cm, 77kg",,,신윤후,3,0.235,0.396,내야수,5,1,0,8,,롯데,,
,,1987-05-13,,,,,,"178cm, 78kg",,,신정락,,,,투수,,,,,,롯데,,
,,1994-02-18,,,,,,"182cm, 92kg",,,심재민,39,,,투수,,,,,,롯데,,
