avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
,,2001-12-30,,,,,,"182cm, 88kg",,,장민기,46,,,투수,,,,,,KIA,,
,1,2001-08-02,0.00,,2,0,0,"180cm, 86kg",1 1/3,0,장재혁,65,,,투수,,,,0,0,KIA,0,2.25
,34,1995-02-24,3.94,,75,16,8,"181cm, 91kg",75 1/3,4,장현식,50,,,투수,,,,75,0,KIA,5,1.45
,20,1996-04-18,4.09,,55,19,5,"182cm, 84kg",66,5,전상현,51,,,투수,,,,54,7,KIA,10,1.14
,16,2001-08-23,2.49,,47,1,8,"189cm, 98kg",50 2/3,3,정해영,62,,,투수,,,,50,31,KIA,2,1.24
,기록이 없습니다.,2004-05-21,,,,,,"185cm, 87kg",,,정해원,59,,,내야수,,,,,,KIA,,
,,2005-02-19,,,,,,"192cm, 85kg",,,조대현,67,,,투수,,,,,,KIA,,
,기록이 없습니다.,1997-11-11,,,,,,"182cm, 85kg",,,주효상,22,,,포수,,,,,,KIA,,
0.292,50,1997-03-23,,128,,,9,"178cm, 85kg",,,최원준,16,0.371,0.791,외야수,75,56,21,66,,KIA,,
0.182,1,1996-10-24,,2,,,0,"178cm, 75kg",,,최정용,23,0.250,0.432,내야수,0,1,0,4,,KIA,,
,40,2003-09-10,5.09,,44,12,2,"185cm, 100kg",46,3,최지민,39,,,투수,,,,37,3,KIA,3,1.83
0.280,52,1983-12-16,,119,,,22,"180cm, 106kg",,,최형우,34,0.361,0.860,외야수,67,109,1,86,,KIA,,
,12,1994-09-09,3.57,,41,0,2,"185cm, 108kg",40 1/3,1,크로우,,,,투수,,,,43,0,KIA,5,1.31
0.273,4,1994-06-21,,3,,,0,"174cm, 83kg",,,한승택,26,0.467,0.740,포수,2,2,0,1,,KIA,,
0.307,21,1999-02-13,,88,,,7,"184cm, 95kg",,,한준수,55,0.351,0.807,포수,39,41,0,48,,KIA,,
0.295,6,2000-05-02,,31,,,0,"178cm, 72kg",,,홍종표,6,0.339,0.729,내야수,27,11,5,31,,KIA,,
0.286,0,1996-02-10,,2,,,0,"178cm, 100kg",,,황대인,52,0.286,0.715,내야수,1,3,0,1,,KIA,,
,44,2002-07-30,4.44,,109,0,13,"183cm, 96kg",103 1/3,7,황동하,41,,,투수,,,,81,0,KIA,5,1.48
0.303,35,1985-08-18,,122,,,19,"185cm, 100kg",,,강민호,47,0.365,0.861,포수,48,77,3,52,,삼성,,
0.095,0,1991-09-12,,2,,,0,"181cm, 66kg",,,강한울,6,0.091,0.186,내야수,1,1,0,6,,삼성,,
0.071,1,1999-09-27,,1,,,1,"183cm, 85kg",,,공민규,9,0.235,0.521,내야수,1,2,0,9,,삼성,,
0.343,55,1993-02-12,,169,,,33,"189cm, 75kg",,,구자욱,5,0.417,1.044,외야수,92,115,13,73,,삼성,,
,9,1988-11-21,5.50,,42,5,4,"183cm, 85kg",34 1/3,0,김대우,17,,,투수,,,,23,0,삼성,0,1.49
,2,2001-10-15,11.25,,7,0,1,"185cm, 100kg",4,1,김대호,44,,,투수,,,,1,0,삼성,0,2.25
0.000,0,2000-04-14,,0,,,0,"178cm, 90kg",,,김도환,42,0.000,0.000,포수,0,0,0,1,,삼성,,
0.111,1,1990-07-24,,2,,,0,"186cm, 101kg",,,김동엽,38,0.190,0.357,외야수,1,2,0,5,,삼성,,
0.108,3,1996-12-18,,4,,,1,"184cm, 84kg",,,김동진,3,0.175,0.364,내야수,5,2,0,10,,삼성,,
0.250,0,1991-03-02,,2,,,1,"177cm, 80kg",,,김민수,12,0.250,0.875,포수,1,3,0,1,,삼성,,
,,2003-09-01,,,,,,"183cm, 78kg",,,김서준,53,,,투수,,,,,,삼성,,
0.243,9,1999-02-02,,18,,,0,"163cm, 62kg",,,김성윤,39,0.326,0.623,외야수,15,6,3,16,,삼성,,
,,1998-09-26,,,,,,"181cm, 89kg",,,김시현,48,,,투수,,,,,,삼성,,
0.252,45,2003-08-24,,115,,,28,"183cm, 81kg",,,김영웅,30,0.321,0.806,내야수,65,79,9,155,,삼성,,
,7,1999-12-08,10.13,,6,0,0,"185cm, 95kg",5 1/3,0,김윤수,28,,,투수,,,,2,0,삼성,0,2.44
0.238,5,2004-07-26,,20,,,2,"180cm, 81kg",,,김재상,,0.278,0.635,내야수,13,12,4,23,,삼성,,
0.200,3,1996-10-30,,4,,,0,"185cm, 85kg",,,김재성,2,0.304,0.554,포수,3,1,0,5,,삼성,,
,25,1990-09-16,4.09,,58,25,13,"185cm, 91kg",66,8,김재윤,62,,,투수,,,,51,11,삼성,4,1.26
0.184,3,1999-12-26,,9,,,0,"182cm, 85kg",,,김재혁,8,0.222,0.487,외야수,6,6,2,19,,삼성,,
0.316,60,2001-03-08,,143,,,3,"163cm, 64kg",,,김지찬,58,0.405,0.789,내야수,102,36,42,40,,삼성,,
,19,1992-03-02,3.96,,49,23,6,"187cm, 101kg",52 1/3,2,김태훈,27,,,투수,,,,37,0,삼성,3,1.30
0.200,0,1996-03-31,,4,,,0,"177cm, 78kg",,,김태훈,25,0.238,0.488,외야수,2,1,0,3,,삼성,,
0.302,22,1988-11-09,,85,,,9,"174cm, 81kg",,,김헌곤,32,0.358,0.792,외야수,43,34,4,50,,삼성,,
0.224,11,2002-10-11,,41,,,0,"178cm, 78kg",,,김현준,41,0.279,0.569,외야수,23,11,2,49,,삼성,,
0.069,1,2005-07-16,,2,,,0,"183cm, 84kg",,,김호진,60,0.125,0.194,내야수,4,3,0,11,,삼성,,
0.282,6,1996-11-19,,31,,,7,"188cm, 105kg",,,디아즈,0,0.331,0.849,내야수,14,19,0,25,,삼성,,
,30,1996-11-02,3.81,,159,0,15,"198cm, 113kg",144,4,레예스,43,,,투수,,,,114,0,삼성,11,1.31
0.000,2,2004-10-11,,0,,,0,"185cm, 90kg",,,류승민,,0.667,0.667,외야수,1,0,0,1,,삼성,,
0.258,33,1994-01-13,,78,,,3,"181cm, 75kg",,,류지혁,16,0.341,0.666,내야수,43,36,11,70,,삼성,,
0.294,39,1994-12-15,,80,,,4,"188cm, 101kg",,,맥키넌,24,0.381,0.767,내야수,28,36,1,33,,삼성,,
,,2004-05-28,,,,,,"184cm, 80kg",,,박권후,49,,,투수,,,,,,삼성,,
